player.name,player.id,team.abbreviation,period
Kyle Singler,202713,OKC,1
Enes Kanter,202683,OKC,1
Steven Adams,203500,OKC,1
Dion Waiters,203079,OKC,1
Russell Westbrook,201566,OKC,1
Kawhi Leonard,202695,SAS,1
Tim Duncan,1495,SAS,1
Tiago Splitter,201168,SAS,1
Danny Green,201980,SAS,1
Tony Parker,2225,SAS,1
Anthony Morrow,201627,OKC,2
Mitch McGary,203956,OKC,2
D.J. Augustin,201571,OKC,2
Steve Novak,200779,OKC,2
Perry Jones III,203103,OKC,2
Boris Diaw,2564,SAS,2
Marco Belinelli,201158,SAS,2
Manu Ginobili,1938,SAS,2
Matt Bonner,2588,SAS,2
Patty Mills,201988,SAS,2
Kyle Singler,202713,OKC,3
Enes Kanter,202683,OKC,3
Steven Adams,203500,OKC,3
Dion Waiters,203079,OKC,3
Russell Westbrook,201566,OKC,3
Kawhi Leonard,202695,SAS,3
Tim Duncan,1495,SAS,3
Tiago Splitter,201168,SAS,3
Danny Green,201980,SAS,3
Tony Parker,2225,SAS,3
Mitch McGary,203956,OKC,4
D.J. Augustin,201571,OKC,4
Steve Novak,200779,OKC,4
Perry Jones III,203103,OKC,4
Jeremy Lamb,203087,OKC,4
Tiago Splitter,201168,SAS,4
Danny Green,201980,SAS,4
Boris Diaw,2564,SAS,4
Manu Ginobili,1938,SAS,4
Patty Mills,201988,SAS,4
