player.name,player.id,team.abbreviation,period
Michael Beasley,201563,MIN,1
Kevin Love,201567,MIN,1
Darko Milicic,2545,MIN,1
Wesley Johnson,202325,MIN,1
Luke Ridnour,2557,MIN,1
Dorell Wright,2748,GSW,1
David Lee,101135,GSW,1
Andris Biedrins,2740,GSW,1
Monta Ellis,101145,GSW,1
Stephen Curry,201939,GSW,1
Martell Webster,101110,MIN,2
Nikola Pekovic,201593,MIN,2
Jonny Flynn,201938,MIN,2
Anthony Tolliver,201229,MIN,2
Wayne Ellington,201961,MIN,2
Dorell Wright,2748,GSW,2
David Lee,101135,GSW,2
Monta Ellis,101145,GSW,2
Stephen Curry,201939,GSW,2
Ekpe Udoh,202327,GSW,2
Michael Beasley,201563,MIN,3
Kevin Love,201567,MIN,3
Darko Milicic,2545,MIN,3
Wesley Johnson,202325,MIN,3
Luke Ridnour,2557,MIN,3
Dorell Wright,2748,GSW,3
David Lee,101135,GSW,3
Andris Biedrins,2740,GSW,3
Monta Ellis,101145,GSW,3
Stephen Curry,201939,GSW,3
Martell Webster,101110,MIN,4
Jonny Flynn,201938,MIN,4
Anthony Tolliver,201229,MIN,4
Wayne Ellington,201961,MIN,4
Anthony Randolph,201576,MIN,4
David Lee,101135,GSW,4
Stephen Curry,201939,GSW,4
Acie Law,201151,GSW,4
Al Thornton,201154,GSW,4
Vladimir Radmanovic,2209,GSW,4
