eventorder,eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,time.elapsed,is.end.of.possession,possession.end,possession.id,homedescription,visitordescription,score,scoremargin,player.1.id,neutraldescription,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
1,2,12,0,1,12:00:00,0,"",,1,"","",,,0,"","","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
2,4,10,0,1,12:00:00,0,"",,1,Jump Ball Thompson vs. Chriss: Tip to Love,"",,,202684,"","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
3,7,6,1,1,11:40:00,20,"",,1,"",Chriss P.FOUL (P1.T1) (G.Petraitis),,,1627737,"","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","",""
4,9,1,43,1,11:33:00,27,TRUE,made.shot,1,Love 1' Alley Oop Layup (2 PTS) (Garland 1 AST),"",0 - 2,2,201567,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
5,11,6,1,1,11:14:00,46,"",,2,Garland P.FOUL (P1.T1) (G.Petraitis),"",,,1629636,"","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","",""
6,14,1,101,1,11:03:00,57,TRUE,made.shot,2,"",Lee 4' Driving Floating Jump Shot (2 PTS) (Russell 1 AST),2 - 2,TIE,1627814,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
7,16,1,80,1,10:45:00,75,TRUE,made.shot,3,Osman 26' 3PT Step Back Jump Shot (3 PTS),"",2 - 5,3,1626224,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
8,17,6,2,1,10:38:00,82,"",,4,Osman S.FOUL (P1.T2) (E.Scott),"",,,1626224,"","","","","","",TRUE,"","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",""
9,19,3,11,1,10:38:00,82,"",,4,"",Robinson III Free Throw 1 of 2 (1 PTS),3 - 5,2,203922,"","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10,20,3,12,1,10:38:00,82,"",,4,"",MISS Robinson III Free Throw 2 of 2,,,203922,"","","",TRUE,"","","","","","","","","","",TRUE,"","","","","","",TRUE,"",TRUE,"","",TRUE,TRUE,"","","","",""
11,21,4,0,1,10:35:00,85,"",,4,"",Chriss REBOUND (Off:1 Def:0),,,1627737,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12,22,2,78,1,10:30:00,90,"",,4,"",MISS Chriss 7' Floating Jump Shot,,,1627737,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
13,23,4,0,1,10:28:00,92,TRUE,missed.shot,4,Thompson REBOUND (Off:0 Def:1),"",,,202684,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
14,24,2,1,1,10:23:00,97,"",,5,MISS Love 29' 3PT Jump Shot,"",,,201567,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
15,25,4,0,1,10:21:00,99,"",,5,Thompson REBOUND (Off:1 Def:1),"",,,202684,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16,26,1,1,1,10:18:00,102,TRUE,made.shot,5,Sexton 25' 3PT Jump Shot (3 PTS) (Thompson 1 AST),"",3 - 8,5,1629012,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
17,28,1,1,1,10:06:00,114,TRUE,made.shot,6,"",Russell 29' 3PT Jump Shot (3 PTS) (Chriss 1 AST),6 - 8,2,1626156,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
18,30,1,101,1,09:52:00,128,TRUE,made.shot,7,Osman 4' Driving Floating Jump Shot (5 PTS) (Love 1 AST),"",6 - 10,4,1626224,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
19,32,2,1,1,09:45:00,135,"",,8,"",MISS Russell 25' 3PT Jump Shot,,,1626156,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
20,33,4,0,1,09:42:00,138,TRUE,missed.shot,8,Thompson REBOUND (Off:1 Def:2),"",,,202684,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
21,34,2,1,1,09:37:00,143,"",,9,MISS Garland 27' 3PT Jump Shot,"",,,1629636,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
